Fold,Test Period,n_train,n_test,LR_Test_R2,LR_RMSE,LR_MAPE,RF_Test_R2,RF_RMSE,RF_MAPE
1,2023-08-22 -> 2023-10-04,4005,3996,0.90596950828287,29.009265185714053,2.64553787516473,0.8429888518965489,37.4858721090257,3.0585291499192353
2,2023-10-04 -> 2024-02-11,8001,3996,0.938172004681943,35.150623515422566,2.8782255879627865,0.7551071042499335,69.95657580409302,4.798005646907843
3,2024-02-11 -> 2024-03-23,11997,3996,0.9331227283404054,65.85303542372425,4.080128016721699,0.8359815006664345,103.129506965453,5.992899252886221
4,2024-03-23 -> 2024-06-06,15993,3996,0.597748375474144,42.85987341749315,3.19052210475907,0.572825820671304,44.16766880837538,3.256986628616026
5,2024-06-06 -> 2024-09-12,19989,3996,0.8499330847822248,36.297144564047336,2.9363709668026825,0.8430504028204278,37.1201810881402,3.3959589875708693
6,2024-09-12 -> 2026-01-21,23985,3996,0.8483096875795352,197.65983605037508,217.55516287918027,0.7130439293296715,271.86119172181316,407.7520574257556
7,2026-01-21 -> 2026-03-04,27981,3996,-30.108623761101047,175.56557549183574,316.21793793254665,-5.335385598777794,79.22924031273702,106.5713317878991
8,2026-03-04 -> 2026-04-14,31977,3996,-20.819820174800753,149.25648346164348,262.7279043596134,-1.5262917475996884,50.78662739293282,87.55644877732027
9,2026-04-14 -> 2026-05-27,35973,3996,-18.927524943786654,237.05876753498552,249.46191848076134,-0.8096942103163045,71.43843632429422,88.56327707110522
10,2026-05-27 -> 2026-07-08,39969,3996,-9.410305878106245,146.3114253510372,226.06980014592216,-3.554514611253893,96.77597287114843,87.2877369519016
